species,model_ID,model,threshold,thr_value,n_presences,n_absences,TPR_mean,TPR_sd,TNR_mean,TNR_sd,SORENSEN_mean,SORENSEN_sd,JACCARD_mean,JACCARD_sd,FPB_mean,FPB_sd,OR_mean,OR_sd,TSS_mean,TSS_sd,AUC_mean,AUC_sd,BOYCE_mean,BOYCE_sd,IMAE_mean,IMAE_sd,n.trees,shrinkage,n.minobsinnode,size,decay,mtry,C,sigma,regmult,classes,used_in_meanthr
Achillea millefolium,1,median,max_sens_spec,0.28935619,2269,10046,0.6244770331390146,0.03133756750065417,0.7553715315304866,0.0611311671444822,0.4821536784371297,0.12962840170753842,0.3247692838270134,0.1111390811870877,0.6495385676540268,0.2222781623741754,0.37552296686098546,0.03133756750065417,0.3798485646695012,0.05511102851295134,0.7413578874862404,0.03227447197055154,0.9226457743187284,0.07592027822550812,0.7117367963861242,0.02498693949197035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Achillea millefolium,2,gam,max_sens_spec,0.18998816,2269,10046,0.6040313365970262,0.11251225235036366,0.7146255804951973,0.15196722611639488,0.44577929480035633,0.1377990603114835,0.29435684029984266,0.11352789286571408,0.5887136805996853,0.22705578573142815,0.3959686634029738,0.11251225235036366,0.3186569170922235,0.07245763229798291,0.7059194371927182,0.03783539241322784,0.931771005281067,0.04687123412610097,0.7009914995531195,0.01972139525786844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Achillea millefolium,3,gbm,max_sens_spec,0.20283726,2269,10046,0.5797975428237935,0.07500331292670402,0.7586915311345377,0.0665851220094223,0.4641017253807954,0.1396940150409159,0.31027938731194626,0.11894589246970388,0.6205587746238925,0.23789178493940777,0.4202024571762065,0.07500331292670402,0.3384890739583311,0.09744158613269184,0.7079541551968167,0.04848916720135669,0.792377879454694,0.18265198130569776,0.7018852278599248,0.0179185882343983,70,0.6,13,NA,NA,NA,NA,NA,NA,NA,y
Achillea millefolium,4,glm,max_sens_spec,0.24619032,2269,10046,0.5927472560517912,0.15708009739028533,0.7769386553099358,0.11263440155078056,0.49199268180009526,0.11007657474196848,0.3314579812335903,0.09514260150459757,0.6629159624671807,0.1902852030091951,0.4072527439482087,0.15708009739028533,0.3696859113617271,0.0542096586694145,0.7276015181889516,0.03037399511459937,0.8459150012869345,0.10945384401740946,0.7114666618163736,0.02300781556884251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Achillea millefolium,5,net,max_sens_spec,0.12906376,2269,10046,0.6450559683323236,0.06628458168851772,0.7344612071071396,0.04456622892656536,0.4843469346704531,0.11693065636114532,0.32534391944710156,0.09999709784553236,0.6506878388942031,0.19999419569106472,0.3549440316676764,0.06628458168851772,0.3795171754394632,0.03379940723938442,0.732301341170609,0.02918948900088129,0.9184675076453328,0.06093899346189493,0.7178081700720799,0.04012001557770871,NA,NA,NA,4,0.56,NA,NA,NA,NA,NA,y
Achillea millefolium,6,raf,max_sens_spec,0.298,2269,10046,0.7173325815484977,0.12789482928855989,0.6548847548844832,0.13161981666145037,0.4770218080501012,0.14527876046749005,0.3221724006466183,0.12534413115866555,0.6443448012932366,0.2506882623173311,0.2826674184515024,0.12789482928855989,0.3722173364329808,0.08499763681569111,0.7388554821861111,0.06014204958125808,0.8755584946307308,0.13565936032702072,0.6934837998645748,0.01710463000838704,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,y
Achillea millefolium,7,svm,max_sens_spec,0.15175136,2269,10046,0.6087552966548764,0.10333288533186807,0.7482218060678543,0.10276817787422982,0.4724065656336729,0.12100908681916256,0.315315691548443,0.10222379609644014,0.630631383096886,0.20444759219288028,0.3912447033451236,0.10333288533186806,0.3569771027227307,0.04566933488616314,0.7164524671815431,0.02205650212010358,0.8819381706882912,0.10426136413536156,0.7139298757015864,0.02554271078174039,NA,NA,NA,NA,NA,NA,2,0.051,NA,NA,y
Adenostoma sparsifolium,1,meanw,max_sens_spec,0.29364885,522,3230,0.7561680182468167,0.4008148736594396,0.9827403565472016,0.01268370697990897,0.765551704989511,0.3659705730696118,0.7072058403860144,0.39175195572241706,1.4144116807720288,0.7835039114448341,0.2438319817531833,0.4008148736594396,0.7389083747940184,0.4116537367634358,0.862337472908838,0.2344935860083056,0.8663729107140834,0.15331082944606342,0.9115019998723,0.03487173870978533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Adenostoma sparsifolium,1,meanthr,max_sens_spec,0.2253978,522,3230,0.7512011308295982,0.39821384402075566,0.9859004689067522,0.01410066543899294,0.7692637154067343,0.3680843559064378,0.7136174830816187,0.39496483917626174,1.4272349661632373,0.7899296783525235,0.24879886917040184,0.39821384402075566,0.7371015997363504,0.41064047251132624,0.8736190139156662,0.21491564820253284,0.8133507780578192,0.20428805770890135,0.928758738061495,0.04049019373910635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Adenostoma sparsifolium,1,mean,max_sens_spec,0.28931522,522,3230,0.7561680182468167,0.4008148736594396,0.9809947138456766,0.01209568877195918,0.7590587838091308,0.3616961791515276,0.6955943850448699,0.38414013305858824,1.3911887700897398,0.7682802661171765,0.2438319817531833,0.4008148736594396,0.7371627320924933,0.4106220642761798,0.8601227296545375,0.23777997204236145,0.8853150902775172,0.1080194193003176,0.9110235149089652,0.03462842389203354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Adenostoma sparsifolium,1,meansup,max_sens_spec,0.22480959,522,3230,0.8967930182468167,0.12159304504812886,0.8528010325711346,0.2834614704731784,0.7789959607651153,0.37361627216545673,0.7311748923591029,0.4061233591805846,1.462349784718206,0.8122467183611692,0.1032069817531833,0.12159304504812886,0.7495940508179514,0.4027030564104011,0.8794318281694343,0.21129290420457253,0.8565258028865133,0.172152535895286,0.914107677298447,0.03656483931466042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Adenostoma sparsifolium,1,median,max_sens_spec,0.23855532,522,3230,0.8963273725514525,0.10603000065603518,0.8502765333279321,0.28769131065987774,0.7752617571288382,0.3674841436201964,0.7227035717684809,0.39885177939507566,1.4454071435369618,0.7977035587901513,0.10367262744854756,0.10603000065603518,0.7466039058793845,0.3869919136925179,0.8665733157483493,0.2136551190213649,0.8844214862970039,0.13270299888604792,0.9226246799623748,0.04247487138332948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Adenostoma sparsifolium,2,gam,max_sens_spec,0.22085125,522,3230,0.6838858559382932,0.3570188035215178,0.9200768830992656,0.07143484667859884,0.5758409247687766,0.26134604764521696,0.4378156158612432,0.2455352971193085,0.8756312317224865,0.491070594238617,0.31611414406170674,0.35701880352151777,0.6039627390375588,0.32834721190802185,0.8088667766094267,0.196141828032761,0.961889707436594,0.05140504330602118,0.9100629927246836,0.03202757547923236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Adenostoma sparsifolium,3,gbm,max_sens_spec,0.17164581,522,3230,0.927866881471946,0.05096766820636866,0.8264983408117665,0.31702138123610496,0.7502237763089392,0.3423889226499783,0.6744437115564076,0.3610961145510594,1.3488874231128152,0.7221922291021188,0.07213311852805393,0.05096766820636866,0.7543652222837126,0.35380452216821795,0.8609379986486204,0.203509723426414,0.8044303825202046,0.1886122203511824,0.922185505613672,0.0417361516177432,100,0.6,10,NA,NA,NA,NA,NA,NA,NA,y
Adenostoma sparsifolium,4,glm,max_sens_spec,0.14717514,522,3230,0.7045640225067337,0.3722825101991637,0.9683760249574236,0.01259183048572846,0.6884563040328762,0.3148064807446273,0.5802001678434239,0.30730517608697533,1.1604003356868478,0.6146103521739507,0.29543597749326633,0.3722825101991637,0.6729400474641574,0.3724577220210429,0.7929212477756423,0.31057274184171985,0.9447789006631888,0.04961816965938816,0.8992471613912992,0.03514998780526442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Adenostoma sparsifolium,5,net,max_sens_spec,0.20629417,522,3230,0.8804229851342339,0.12673036724166845,0.9252503821897105,0.12867633059854472,0.789025654232632,0.28985313216694863,0.7111251887348643,0.33204265270648436,1.4222503774697286,0.6640853054129687,0.11957701486576608,0.12673036724166845,0.8056733673239442,0.24971268009629952,0.9128505608993532,0.12694806300823708,0.9763167854747822,0.02439216930989704,0.9288077658141594,0.04029407655882931,NA,NA,NA,3,0.51,NA,NA,NA,NA,NA,y
Adenostoma sparsifolium,6,raf,max_sens_spec,0.512,522,3230,0.8761080016905253,0.1475140376624912,0.867187819010435,0.24924804143029036,0.7658562881796116,0.3624960020093976,0.7059875932937275,0.38792210538312855,1.411975186587455,0.7758442107662571,0.1238919983094747,0.1475140376624912,0.7432958207009602,0.3933169339480296,0.8794306912581131,0.2032178073258354,0.8300811934059571,0.1214673501414084,0.9030134663355714,0.03401807368988747,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,y
Adenostoma sparsifolium,7,svm,max_sens_spec,0.0813424,522,3230,0.774379938776618,0.41226388284078497,0.9851640019174654,0.01522660319460558,0.7835623554674191,0.3794777548345787,0.7410959576138147,0.41446956180113753,1.4821919152276295,0.8289391236022751,0.225620061223382,0.41226388284078497,0.7595439406940835,0.42589925240244175,0.8285494687112532,0.3065749205095787,0.742203039301042,0.32079115673790615,0.9024239714303852,0.03273647802289895,NA,NA,NA,NA,NA,NA,2,0.001,NA,NA,y
Aesculus californica,1,meanw,max_sens_spec,0.31298601,3539,10661,0.966436349417024,0.00739131589294368,0.850147718057866,0.05491149466174359,0.8056960273132858,0.07571406376070682,0.6796696200936915,0.1063032841479084,1.359339240187383,0.2126065682958168,0.03356365058297603,0.00739131589294368,0.8165840674748899,0.05424553113342151,0.9585452611493276,0.01619287584323687,0.9762060569385076,0.0352891783921429,0.8284778461835549,0.01371898772358248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Aesculus californica,1,meanthr,max_sens_spec,0.19152887,3539,10661,0.963252005233006,0.01672012228957407,0.8462200920843685,0.05250428028182326,0.8008733356813069,0.07189562202328618,0.6723862355162612,0.1002062151914737,1.3447724710325224,0.2004124303829474,0.03674799476699395,0.01672012228957407,0.8094720973173746,0.05223249674434011,0.9560255635161986,0.01563066368737545,0.9567409647171696,0.06866870899139031,0.8439492916424269,0.01655939702577763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Aesculus californica,1,mean,max_sens_spec,0.31039287,3539,10661,0.964228301590208,0.00753412103959298,0.8515437340133174,0.05622661359503261,0.8055217225826355,0.07676082236798717,0.6795633062942193,0.1077355862817829,1.3591266125884387,0.2154711725635658,0.03577169840979211,0.00753412103959298,0.8157720356035252,0.05374315094512057,0.958326808199707,0.01612984386427964,0.9751865340694736,0.03793131070623831,0.8280643635598675,0.01369502071620497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Aesculus californica,1,meansup,max_sens_spec,0.29368766,3539,10661,0.9725832543631224,0.01096641278853739,0.8614085574732547,0.04635240078838883,0.8208061508368286,0.0622463199483738,0.6996257991804867,0.08971763193364074,1.3992515983609737,0.17943526386728148,0.02741674563687768,0.01096641278853739,0.833991811836377,0.05217165431134651,0.961399990381693,0.01587406527951185,0.9869177078778794,0.01339295561804382,0.8485883799544778,0.01474001000660747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Aesculus californica,1,median,max_sens_spec,0.32432533,3539,10661,0.9638480971868928,0.0125493851208859,0.8523807659973447,0.0625885397560742,0.8049401097266746,0.08287682082552228,0.6795803685073752,0.115844463545709,1.3591607370147505,0.23168892709141797,0.03615190281310707,0.0125493851208859,0.8162288631842376,0.05211338142860539,0.9577212080008732,0.01669703024380546,0.977372326375236,0.03731755302082172,0.8424082909184177,0.01542092620828343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Aesculus californica,2,gam,max_sens_spec,0.27407417,3539,10661,0.93105978972103,0.05105751221288576,0.8338105851193551,0.02675505349820922,0.7701117500182828,0.07726714757558008,0.6308961142039168,0.1005111739219992,1.2617922284078336,0.2010223478439984,0.0689402102789701,0.05105751221288576,0.764870374840385,0.05386883138436857,0.939764819008288,0.0185343202052743,0.9648227656761664,0.0348194105714824,0.8423601238227332,0.01513122480262285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Aesculus californica,3,gbm,max_sens_spec,0.2333913,3539,10661,0.9562305051110724,0.02063820550336785,0.825576367980002,0.06750309771670893,0.7773058375534586,0.08635475861227344,0.6418190488786943,0.11495509680449276,1.283638097757389,0.2299101936089855,0.04376949488892742,0.02063820550336785,0.78180687309107455,0.05248444265379377,0.9250837134394068,0.02955585432066982,0.7868025362625222,0.1477110688426342,0.7539029205111019,0.00995527704137166,40,0.1,1,NA,NA,NA,NA,NA,NA,NA,y
Aesculus californica,4,glm,max_sens_spec,0.26688787,3539,10661,0.9586031756213268,0.02188924290632278,0.8156143270724509,0.04706358200774813,0.769211600103437,0.08596075850160413,0.6307996225513612,0.11127518096454436,1.2615992451027225,0.22255036192908872,0.04139682437867331,0.02188924290632278,0.7742175026937774,0.05501630413638109,0.937661643273376,0.01463617010110148,0.9747499984559254,0.00893309013108266,0.8263579971619365,0.01845178143697717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Aesculus californica,5,net,max_sens_spec,0.24922536,3539,10661,0.9669919167822196,0.01159714915096554,0.8539782734721689,0.05226488570610053,0.8131384413988507,0.05680154217353004,0.6880078711324412,0.08055894898190973,1.3760157422648824,0.16111789796381945,0.03300808321778031,0.01159714915096554,0.8209701902543887,0.04775025866841813,0.9535382544068732,0.01982878419293021,0.946871329486078,0.05462087696121948,0.8495548047443062,0.0188672479110852,NA,NA,NA,5,0.56,NA,NA,NA,NA,NA,y
Aesculus californica,6,raf,max_sens_spec,0.58,3539,10661,0.9766053215196931,0.01009336502233788,0.8573358700409854,0.05823781601247693,0.8164947482872957,0.07669139589388485,0.6952315534142306,0.10980490018773874,1.3904631068284612,0.21960980037547748,0.02339467848030685,0.01009336502233788,0.8339411915606787,0.05400459990362667,0.9587741575233264,0.01880578140405346,0.9833551946300516,0.01022077263595431,0.8487196576634302,0.01615403411321658,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,y
