Table 1. Data Dictionary ,,,,,,,
variable name,variable,,,,,,
species,,,,,,,
model,"SDM consensus approach (mean, meansup, meanthr, meanw, median)",,,,,,
rcp,Representative Concentration Pathway (RCP) (rcp45 or rcp85),,,,,,
gcm,Global Climate Model (GCM); CNRM-CM5 (cnrm) or HadGEM2-ES (hades),,,,,,
dispersal,dispersal assumption (full or null),,,,,,
year,future projection time period (2055 or 2085),,,,,,
hs_change,change in habitat suitability proportional to currently suitable habitat,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Table 2. Data,,,,,,,
species,model,rcp,gcm,dispersal,year,hs_change,sd_hsc
Aesculus californica,mean,rcp45,cnrm,full,2055,-0.0838,0.1952
Aesculus californica,mean,rcp45,cnrm,null,2085,-0.4964,0.1736
Aesculus californica,mean,rcp45,cnrm,full,2085,-0.135,0.1952
Aesculus californica,mean,rcp45,hades,null,2055,-0.4511,0.1736
Aesculus californica,mean,rcp45,hades,full,2055,-0.1457,0.1952
Aesculus californica,mean,rcp45,hades,null,2085,-0.5702,0.1736
Aesculus californica,mean,rcp45,hades,full,2085,-0.2516,0.1952
Aesculus californica,mean,rcp85,cnrm,null,2055,-0.3587,0.1736
Aesculus californica,mean,rcp85,cnrm,full,2055,-0.0269,0.1952
Aesculus californica,mean,rcp85,cnrm,null,2085,-0.6617,0.1736
Aesculus californica,mean,rcp85,cnrm,full,2085,-0.285,0.1952
Aesculus californica,mean,rcp85,hades,null,2055,-0.5271,0.1736
Aesculus californica,mean,rcp85,hades,full,2055,-0.0984,0.1952
Aesculus californica,mean,rcp85,hades,null,2085,-0.8115,0.1736
Aesculus californica,mean,rcp85,hades,full,2085,-0.393,0.1952
Aesculus californica,meansup,rcp45,cnrm,null,2055,-0.185,0.1736
Aesculus californica,meansup,rcp45,cnrm,full,2055,0.1249,0.1952
Aesculus californica,meansup,rcp45,cnrm,null,2085,-0.2566,0.1736
Aesculus californica,meansup,rcp45,cnrm,full,2085,0.046,0.1952
Aesculus californica,meansup,rcp45,hades,null,2055,-0.2968,0.1736
Aesculus californica,meansup,rcp45,hades,full,2055,-0.0092,0.1952
Aesculus californica,meansup,rcp45,hades,null,2085,-0.399,0.1736
Aesculus californica,meansup,rcp45,hades,full,2085,-0.0848,0.1952
Aesculus californica,meansup,rcp85,cnrm,null,2055,-0.1781,0.1736
Aesculus californica,meansup,rcp85,cnrm,full,2055,0.109,0.1952
Aesculus californica,meansup,rcp85,cnrm,null,2085,-0.3013,0.1736
Aesculus californica,meansup,rcp85,cnrm,full,2085,0.0857,0.1952
Aesculus californica,meansup,rcp85,hades,null,2055,-0.4205,0.1736
Aesculus californica,meansup,rcp85,hades,full,2055,-0.0283,0.1952
Aesculus californica,meansup,rcp85,hades,null,2085,-0.5748,0.1736
Aesculus californica,meansup,rcp85,hades,full,2085,-0.1319,0.1952
Aesculus californica,meanthr,rcp45,cnrm,null,2055,-0.4928,0.1736
Aesculus californica,meanthr,rcp45,cnrm,full,2055,-0.1916,0.1952
Aesculus californica,meanthr,rcp45,cnrm,null,2085,-0.5746,0.1736
Aesculus californica,meanthr,rcp45,cnrm,full,2085,-0.2413,0.1952
Aesculus californica,meanthr,rcp45,hades,null,2055,-0.5069,0.1736
Aesculus californica,meanthr,rcp45,hades,full,2055,-0.2189,0.1952
Aesculus californica,meanthr,rcp45,hades,null,2085,-0.6345,0.1736
Aesculus californica,meanthr,rcp45,hades,full,2085,-0.3406,0.1952
Aesculus californica,meanthr,rcp85,cnrm,null,2055,-0.4319,0.1736
Aesculus californica,meanthr,rcp85,cnrm,full,2055,-0.1197,0.1952
Aesculus californica,meanthr,rcp85,cnrm,null,2085,-0.7544,0.1736
Aesculus californica,meanthr,rcp85,cnrm,full,2085,-0.4142,0.1952
Aesculus californica,meanthr,rcp85,hades,null,2055,-0.5723,0.1736
Aesculus californica,meanthr,rcp85,hades,full,2055,-0.1457,0.1952
Aesculus californica,meanthr,rcp85,hades,null,2085,-0.8812,0.1736
Aesculus californica,meanthr,rcp85,hades,full,2085,-0.5252,0.1952
Aesculus californica,meanw,rcp45,cnrm,null,2055,-0.309,0.1736
Aesculus californica,meanw,rcp45,cnrm,full,2055,0.1259,0.1952
Aesculus californica,meanw,rcp45,cnrm,null,2085,-0.3883,0.1736
Aesculus californica,meanw,rcp45,cnrm,full,2085,0.06,0.1952
Aesculus californica,meanw,rcp45,hades,null,2055,-0.3605,0.1736
Aesculus californica,meanw,rcp45,hades,full,2055,0.0338,0.1952
Aesculus californica,meanw,rcp45,hades,null,2085,-0.4681,0.1736
Aesculus californica,meanw,rcp45,hades,full,2085,-0.0568,0.1952
Aesculus californica,meanw,rcp85,cnrm,null,2055,-0.277,0.1736
Aesculus californica,meanw,rcp85,cnrm,full,2055,0.1468,0.1952
Aesculus californica,meanw,rcp85,cnrm,null,2085,-0.503,0.1736
Aesculus californica,meanw,rcp85,cnrm,full,2085,-0.0166,0.1952
Aesculus californica,meanw,rcp85,hades,null,2055,-0.4389,0.1736
Aesculus californica,meanw,rcp85,hades,full,2055,0.0602,0.1952
Aesculus californica,meanw,rcp85,hades,null,2085,-0.6934,0.1736
Aesculus californica,meanw,rcp85,hades,full,2085,-0.1841,0.1952
Aesculus californica,median,rcp45,cnrm,null,2055,-0.5156,0.1736
Aesculus californica,median,rcp45,cnrm,full,2055,-0.2982,0.1952
Aesculus californica,median,rcp45,cnrm,null,2085,-0.5875,0.1736
Aesculus californica,median,rcp45,cnrm,full,2085,-0.3531,0.1952
Aesculus californica,median,rcp45,hades,null,2055,-0.5079,0.1736
Aesculus californica,median,rcp45,hades,full,2055,-0.2907,0.1952
Aesculus californica,median,rcp45,hades,null,2085,-0.6262,0.1736
Aesculus californica,median,rcp45,hades,full,2085,-0.3991,0.1952
Aesculus californica,median,rcp85,cnrm,null,2055,-0.4471,0.1736
Aesculus californica,median,rcp85,cnrm,full,2055,-0.2222,0.1952
Aesculus californica,median,rcp85,cnrm,null,2085,-0.7772,0.1736
Aesculus californica,median,rcp85,cnrm,full,2085,-0.554,0.1952
Aesculus californica,median,rcp85,hades,null,2055,-0.5659,0.1736
Aesculus californica,median,rcp85,hades,full,2055,-0.2489,0.1952
Aesculus californica,median,rcp85,hades,null,2085,-0.8739,0.1736
Aesculus californica,median,rcp85,hades,full,2085,-0.6004,0.1952
Arctostaphylos glandulosa,mean,rcp45,cnrm,null,2055,0.0058,0.1854
Arctostaphylos glandulosa,mean,rcp45,cnrm,full,2055,2.4084,0.9513
Arctostaphylos glandulosa,mean,rcp45,cnrm,null,2085,-0.0383,0.1854
Arctostaphylos glandulosa,mean,rcp45,cnrm,full,2085,2.2485,0.9513
Arctostaphylos glandulosa,mean,rcp45,hades,null,2055,-0.1234,0.1854
Arctostaphylos glandulosa,mean,rcp45,hades,full,2055,1.9885,0.9513
Arctostaphylos glandulosa,mean,rcp45,hades,null,2085,-0.1178,0.1854
Arctostaphylos glandulosa,mean,rcp45,hades,full,2085,2.2126,0.9513
Arctostaphylos glandulosa,mean,rcp85,cnrm,null,2055,-0.0512,0.1854
Arctostaphylos glandulosa,mean,rcp85,cnrm,full,2055,2.2695,0.9513
Arctostaphylos glandulosa,mean,rcp85,cnrm,null,2085,0.2627,0.1854
Arctostaphylos glandulosa,mean,rcp85,cnrm,full,2085,3.5868,0.9513
Arctostaphylos glandulosa,mean,rcp85,hades,null,2055,-0.4157,0.1854
Arctostaphylos glandulosa,mean,rcp85,hades,full,2055,1.8356,0.9513
Arctostaphylos glandulosa,mean,rcp85,hades,null,2085,0.0336,0.1854
Arctostaphylos glandulosa,mean,rcp85,hades,full,2085,2.8556,0.9513
Arctostaphylos glandulosa,meansup,rcp45,cnrm,null,2055,-0.033,0.1854
Arctostaphylos glandulosa,meansup,rcp45,cnrm,full,2055,3.7063,0.9513
Arctostaphylos glandulosa,meansup,rcp45,cnrm,null,2085,-0.0473,0.1854
Arctostaphylos glandulosa,meansup,rcp45,cnrm,full,2085,3.8336,0.9513
