sp,model,rcp,scen,dispersal,year,hs_change,area_km2,sd_hsc,sd_area
Abies magnifica,meanthr,rcp85,hades,nd_change_prop,2055,-0.28885522389512486,9746.98057763156,0.21352453080620093,3069.0574965636565
Abies magnifica,meanthr,rcp85,hades,fd_change_prop,2055,0.15806208121469853,15872.448188562132,0.5650998725553985,8122.181437028923
Abies magnifica,meanthr,rcp85,hades,nd_change_prop,2085,-0.4482387039719716,7562.463814092471,0.21352453080620093,3069.0574965636565
Abies magnifica,meanthr,rcp85,hades,fd_change_prop,2085,-0.19736865106322543,11000.8994398227,0.5650998725553985,8122.181437028923
Abies magnifica,meanw,rcp45,cnrm,nd_change_prop,2055,0.181891343833076,17122.428949155685,0.21352453080620093,3069.0574965636565
Abies magnifica,meanw,rcp45,cnrm,fd_change_prop,2055,1.5197112892468687,36503.84423883923,0.5650998725553985,8122.181437028923
Abies magnifica,meanw,rcp45,cnrm,nd_change_prop,2085,0.12449624133842292,16290.928177429074,0.21352453080620093,3069.0574965636565
Abies magnifica,meanw,rcp45,cnrm,fd_change_prop,2085,1.1941544362000385,31787.40045211465,0.5650998725553985,8122.181437028923
Abies magnifica,meanw,rcp45,hades,nd_change_prop,2055,0.06925856731714218,15490.682745663238,0.21352453080620093,3069.0574965636565
Abies magnifica,meanw,rcp45,hades,fd_change_prop,2055,1.0248510952022578,29334.650085327463,0.5650998725553985,8122.181437028923
Abies magnifica,meanw,rcp45,hades,nd_change_prop,2085,-0.03578952597286893,13968.818216417198,0.21352453080620093,3069.0574965636565
Abies magnifica,meanw,rcp45,hades,fd_change_prop,2085,0.6490919477643141,23890.909983859896,0.5650998725553985,8122.181437028923
Abies magnifica,meanw,rcp85,cnrm,nd_change_prop,2055,0.1607150486119598,16815.641347891116,0.21352453080620093,3069.0574965636565
Abies magnifica,meanw,rcp85,cnrm,fd_change_prop,2055,1.5174616247110462,36471.252646240595,0.5650998725553985,8122.181437028923
Abies magnifica,meanw,rcp85,cnrm,nd_change_prop,2085,-0.2296827420456962,11159.826651115436,0.21352453080620093,3069.0574965636565
Abies magnifica,meanw,rcp85,cnrm,fd_change_prop,2085,0.30752534115824604,18942.52789820295,0.5650998725553985,8122.181437028923
Abies magnifica,meanw,rcp85,hades,nd_change_prop,2055,-0.22007214845058048,11299.058321480235,0.21352453080620093,3069.0574965636565
Abies magnifica,meanw,rcp85,hades,fd_change_prop,2055,0.3679762390233458,19818.29893164748,0.5650998725553985,8122.181437028923
Abies magnifica,meanw,rcp85,hades,nd_change_prop,2085,-0.38672442803261026,8884.71470922924,0.21352453080620093,3069.0574965636565
Abies magnifica,meanw,rcp85,hades,fd_change_prop,2085,-0.08458578054703007,13261.89163954484,0.5650998725553985,8122.181437028923
Abies magnifica,median,rcp45,cnrm,nd_change_prop,2055,0.1938637355322774,17242.887959800315,0.21352453080620093,3069.0574965636565
