species,model,unres,occ,ratio
Eriogonum fasciculatum,meanw,105845.785600546,74096.2079192843,0.700039283556531
Eriogonum fasciculatum,median,81512.6176993263,74694.2021783557,0.916351410205945
Frangula californica,mean,125917.506025371,83509.2079399139,0.663205701700348
Frangula californica,meansup,88038.7926524399,55402.4582524889,0.629295979457681
Frangula californica,meanthr,86057.0654452264,70704.8236609903,0.821603935658166
Frangula californica,meanw,128641.854274981,82124.254092725,0.638394514410362
Frangula californica,median,92271.5663366725,79014.8393864493,0.8563292303736
Galium angustifolium,mean,125246.512273889,21998.2525168911,0.175639641515807
Galium angustifolium,meansup,120905.249773912,17463.5068700205,0.144439607896899
Galium angustifolium,meanthr,100001.004098806,17937.9372670239,0.179377571542185
Galium angustifolium,meanw,187679.10097997,23839.8573947648,0.127024571570753
Galium angustifolium,median,106621.416558392,19509.8072370449,0.182982067456965
Hesperoyucca whipplei,mean,93510.6993470654,36965.6830646827,0.395309663202115
Hesperoyucca whipplei,meansup,100209.788281661,29726.1241674563,0.296638927964848
Hesperoyucca whipplei,meanthr,58098.8313663751,27067.6737657304,0.465890158702846
Hesperoyucca whipplei,meanw,153877.171663993,38367.5534438204,0.249338826733832
Hesperoyucca whipplei,median,79574.9002310225,42344.7666241125,0.532137225446427
Heteromeles arbutifolia,mean,80227.6284223003,65672.9978504205,0.818583312780138
Heteromeles arbutifolia,meansup,102249.325933921,78812.4796524357,0.77078727837647
Heteromeles arbutifolia,meanthr,59343.8932715965,48897.3984490018,0.82396681028687
Heteromeles arbutifolia,meanw,132944.25785104,66155.0123838561,0.497614665373367
Heteromeles arbutifolia,median,73593.2911005704,63397.935220199,0.861463514840793
Juglans californica,mean,65753.3947443748,16022.7070837744,0.24367878108902
Juglans californica,meansup,62496.2909524111,9772.10172980585,0.156362906996305
Juglans californica,meanthr,34454.7647801028,12733.3052299866,0.369565873145649
Juglans californica,meanw,105956.836827267,15038.261800203,0.141928187462964
Juglans californica,median,41459.1457120285,18740.0594772563,0.452012677912446
Juncus balticus,mean,185288.432054039,50269.5874632622,0.271304511058744
Juncus balticus,meansup,146800.773469776,23331.656080108,0.158934149518712
Juncus balticus,meanthr,107531.632173673,42409.5774437439,0.394391646313419
Juncus balticus,meanw,188110.319698709,49045.3050199875,0.26072628603546
Juncus balticus,median,131052.390179862,86116.4348865481,0.65711456897778
Keckiella antirrhinoides,mean,165297.854881917,11752.115708831,0.0710966014484962
